name,model,loss,optimizer,learning_rate,epochs,batch_size,seq_len,iots,train_test_split,train_val_split,model_filename,train,test,tr_star,ws_star,benign_test,gafgyt_combo,gafgyt_junk,gafgyt_scan,gafgyt_tcp,gafgyt_udp,mirai_ack,mirai_scan,mirai_syn,mirai_udp,mirai_udpplain
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_838_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Samsung_Webcam,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967837471,0.943619689,0.93798647,0.982056598,0.98370089,0.984984773,0.960617707,0.9853091,0.988770869,0.980530629
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Danmini_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ecobee_Thermostat,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ennio_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Philips_Baby_Monitor,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_737_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_838_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Samsung_Webcam,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.967744369,0.942678793,0.856517714,0.983207926,0.983566336,,,,,
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Danmini_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ecobee_Thermostat,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ennio_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Philips_Baby_Monitor,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_737_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Provision_838_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Samsung_Webcam,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1002_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Simple_Home_1003_Security_Camera,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.970491127,0.93943349,0.938798952,0.981583694,0.983853586,0.981332924,0.983584409,0.98548185,0.992162518,0.978950104
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Danmini_Doorbell,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.972189638,0.944494789,0.941802915,0.983685772,0.98357866,0.97190937,0.982424236,0.974127704,0.989113461,0.969989944
All_Cluster,AutoEncoder,MSE,SGD,0.012,800,32,,Ecobee_Thermostat,0.66,0.8,../models/All_Cluster,TRUE,TRUE,0.052990519,3404,0,0.972189638,0.944494789,0.941802915,0.983685772,0.98357866,0.97190937,0.982424236,0.974127704,0.989113461,0.969989944
